time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,XBO,46.840,-71.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,20,2.57222,AO1
2016-01-15 23:55:00Z,XBP,46.229,-63.729,NaN,11.8,0.0,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2 10156 20116
2016-01-16 00:00:00Z,XCA,49.150,-88.349,1010.0,-12.4,NaN,-15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,3.601108,AO1 SOG 13 1013
2016-01-16 00:00:00Z,XCH,46.630,-60.950,NaN,-5.4,NaN,-8.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-99999,NaN,AO1 SOG 171 50006
2016-01-16 00:00:00Z,XDI,42.869,-80.550,998.0,3.4,NaN,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04,NaN,,170,1.028888,AO1 9PAST HR SOG 06 8009 50009
2016-01-16 00:00:00Z,XDW,49.599,-98.319,NaN,-20.3,NaN,-23.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,320,3.086664,AO1 SOG 18
2016-01-16 00:00:00Z,XET,44.229,-79.779,998.3,0.9,NaN,-0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,,160,3.086664,AO1 2PAST HR SOG 13 7023 50005
2016-01-16 00:00:00Z,XHA,42.029,-82.900,996.0,1.5,NaN,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,,190,5.14444,AO1 1PAST HR SOG 09 8008 50052
2016-01-16 00:00:00Z,XHF,45.830,-75.650,NaN,-7.7,NaN,-10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-99999,NaN,AO1
2016-01-16 00:00:00Z,XHM,43.279,-79.900,998.5,4.0,NaN,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,NaN,,70,1.543332,AO1 5PAST HR 8013 50005
